"","id","book","book_num","chapter","chapter_num","character","full_text","character_lines","writer","director","imdb_rating"
"107",107,"Water",1,"The Boy in the Iceberg",1,"Katara","Aang? Aang! Wake up. [Aang shoots up, throwing the covers of his body and gasping for air. Katara perches beside him and stands up as she sees that Aang is awake.] It's okay, we're in the village now! Come on, get ready. [She points to the door of the tent.] Everyone's waiting to meet you.","Aang? Aang! Wake up.  It's okay, we're in the village now! Come on, get ready.  Everyone's waiting to meet you.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"108",108,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang happily gets out of bed and starts to dress himself while Katara takes a step toward the door. Before she exits, however, she glances back at Aang and gasps, staring in wonder at the blue, arrow-shaped tattoos that trace his arms and legs and reach up his back and to his head. Before Aang is able to get up, Katara pulls him along by his arm to meet the rest of the village.
Aang is dragged out the tent toward a small congregation of villagers. He passes Sokka, who is sitting at the side of the tent, sharpening his boomerang.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"109",109,"Water",1,"The Boy in the Iceberg",1,"Katara","Aang, this is the entire village. [Points to the line of villagers in front of them.] Entire village, Aang.","Aang, this is the entire village.  Entire village, Aang.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"110",110,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang bows respectfully toward the villages, but they cower away in fear, bringing a surprised look to Katara and Aang's faces. Sokka just watches from a distance.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"111",111,"Water",1,"The Boy in the Iceberg",1,"Aang","[Uncomfortably.] Uh, why are they all looking at me like that? Did Appa sneeze on me?","Uh, why are they all looking at me like that? Did Appa sneeze on me?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"112",112,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang checks his clothing while an elderly woman steps forward out of the line of villagers.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"113",113,"Water",1,"The Boy in the Iceberg",1,"Kanna","Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.","Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"114",114,"Water",1,"The Boy in the Iceberg",1,"Aang","[Shocked disbelief.] Extinct?","Extinct?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"115",115,"Water",1,"The Boy in the Iceberg",1,"Katara","[Gesturing.] Aang, this is my grandmother.","Aang, this is my grandmother.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"116",116,"Water",1,"The Boy in the Iceberg",1,"Kanna","Call me Gran-Gran.","Call me Gran-Gran.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"117",117,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Sokka walks toward Aang and abruptly snatches his staff out of his hands and starts to examine it.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"118",118,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Annoyed.] What is this, a weapon? You can't stab anything with this!","What is this, a weapon? You can't stab anything with this!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"119",119,"Water",1,"The Boy in the Iceberg",1,"Aang","[Aang uses a small air current to get his staff back.] It's not for stabbing! It's for airbending. [He opens his staff into a glider, making Sokka gasp in fright and cover his head with his hands.]","It's not for stabbing! It's for airbending.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"120",120,"Water",1,"The Boy in the Iceberg",1,"Village girl","[Excited.] Magic trick! Do it again!","Magic trick! Do it again!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"121",121,"Water",1,"The Boy in the Iceberg",1,"Aang","Not magic, airbending. [He moves his glider around him, visually demonstrating what he is talking about.] It lets me control the air currents around my glider and fly.","Not magic, airbending.  It lets me control the air currents around my glider and fly.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"122",122,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Mockingly states his disbelief.] Ya know, last time I checked, humans can't fly!","Ya know, last time I checked, humans can't fly!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"123",123,"Water",1,"The Boy in the Iceberg",1,"Aang","[Accepting Sokka's challenge, smiling.] Check again!","Check again!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"124",124,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang grabs hold of his glider and pushes himself off the ground, leaving Katara and Sokka to cover their faces against the sudden wind. The village stares in awe as Aang makes some loops and turns in the sky.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"125",125,"Water",1,"The Boy in the Iceberg",1,"Village girl","[In admiration.] He's flying!","He's flying!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"126",126,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang makes another loops and speeds up to soar past the gazing villagers.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"127",127,"Water",1,"The Boy in the Iceberg",1,"Village girl","It's amazing!","It's amazing!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"128",128,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang's shadow passes over Katara, who is smiling broadly at him. Aang, intending to further impress the villagers, flies sideways and closes his eyes while grinning broadly. He promptly flies head-on into the village's watchtower, causing his head to be stuck in its side. Katara covers her mouth as she watches Aang struggle to extricate his head from the icy watchtower. Succeeding, he tumbles downward onto a pile of snow at the base of the tower that crumbled from the building. Katara immediately rushes to his side while Sokka stares in shock at the damage inflicted on his watchtower.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"129",129,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Shocked.] My watchtower!","My watchtower!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"130",130,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang lies covered in snow at the base of the partially collapsed tower. Katara and some other girls of the tribe run toward Aang, smiling.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"131",131,"Water",1,"The Boy in the Iceberg",1,"Katara","[Offering her hand to pull him out of the snow.] That was amazing!","That was amazing!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"132",132,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Sokka runs toward his watchtower and starts to pat it in the hope that he can save it from collapsing any further. While Aang spins his staff around to retract its wings, Sokka is being knocked down by a large pack of snow that falls down.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"133",133,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Annoyed.] Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long. [He wedges himself free from underneath the weight of the snow and stalks off.]","Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"134",134,"Water",1,"The Boy in the Iceberg",1,"Aang","[Surprised and with admiration.] You're a waterbender?","You're a waterbender?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"135",135,"Water",1,"The Boy in the Iceberg",1,"Katara","[Nervously.] Well, sort of. Not yet.","Well, sort of. Not yet.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"136",136,"Water",1,"The Boy in the Iceberg",1,"Kanna","All right, no more playing. Come on, Katara, you have chores.","All right, no more playing. Come on, Katara, you have chores.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"137",137,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Kanna leads Katara away from Aang. The surrounding villagers part to let the duo pass.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"138",138,"Water",1,"The Boy in the Iceberg",1,"Katara","[Excitedly.] I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!","I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"139",139,"Water",1,"The Boy in the Iceberg",1,"Kanna","[Calmly.] Katara, try not to put all your hopes in this boy.","Katara, try not to put all your hopes in this boy.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"140",140,"Water",1,"The Boy in the Iceberg",1,"Katara","But he's special! I can tell! [Clenches her fist and closes her eyes in hope.] I sense he's filled with much wisdom.","But he's special! I can tell!  I sense he's filled with much wisdom.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"141",141,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Katara opens her eyes again and glances back toward Aang, who is surrounded by a bunch of kids. He smiles while his tongue is stuck to his staff.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"142",142,"Water",1,"The Boy in the Iceberg",1,"Aang","[Muffled.] See? Now my tongue is stuck to my staff!","See? Now my tongue is stuck to my staff!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"143",143,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Much to Aang's discomfort, one of the smaller village boys starts to yank his staff, pulling Aang along with every movement. The village kids laugh and applaud Aang as his tongue remains stuck to his staff.
The scene shifts to Zuko's ship where Zuko is facing two soldiers dressed in the uniforms of a firebending Fire Nation soldier. Iroh is sitting on a small chair next to them.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"144",144,"Water",1,"The Boy in the Iceberg",1,"Iroh","[Sternly.] Again.","Again.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"145",145,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Zuko opens the fight by spreading his arms in the direction of the two firebenders, showering them with flames. His adversaries block Zuko's attack with ease. Zuko shifts his weight to duck under a retaliation blast of the firebender to his left. The firebender to his right jumps forward to aim a blast at Zuko's feet. The prince propels himself out of the way. He twists around in mid-air and directs another fire blast with his hand to the firebender that retaliated first, and another with his foot to the firebender that aimed for his feet. Both soldiers jump out of the way of Zuko's flames. Zuko lands and stretches his fists out toward his adversaries, ready to face another attack.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"146",146,"Water",1,"The Boy in the Iceberg",1,"Iroh","[Sighs while he gets up.] No! [Zuko lowers his arms and looks at his uncle.] Power in firebending comes from the breath [Iroh moves his both hand up in front of him to emphasize the breathing motion.], not the muscles. [He stretches his left arm out as if he was sending a fire blast.] The breath becomes energy in the body. The energy extends past your limbs and becomes: fire! [Iroh directs a fire blast at his nephew that evaporates just before it would scorch him.] Get it right this time.","No!  Power in firebending comes from the breath , not the muscles.  The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!  Get it right this time.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"147",147,"Water",1,"The Boy in the Iceberg",1,"Zuko","[With suppressed anger, he walks toward his uncle and addresses him.] Enough! I've been drilling this sequence all day. Teach me the next set! I'm more than ready!","Enough! I've been drilling this sequence all day. Teach me the next set! I'm more than ready!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"148",148,"Water",1,"The Boy in the Iceberg",1,"Iroh","No, you are impatient. [He sits down again on his chair.] You have yet to master your basics. [He yells his order.] Drill it again!","No, you are impatient.  You have yet to master your basics.  Drill it again!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"149",149,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Zuko clenches his teeth in anger. He turns around and suddenly directs a power fire kick toward one of the soldiers. The firebender attempts to stop the fire blast, but he is unable to and is thrown on his back by its power.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"150",150,"Water",1,"The Boy in the Iceberg",1,"Zuko","[The suppressed anger is very apparent in his voice.] The sages tell us that the Avatar is the last airbender. [Close-up of Iroh, who does not look pleased with the attitude of his nephew.] He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him. [Starts to yell at his uncle.] You will teach me the advanced set!","The sages tell us that the Avatar is the last airbender.  He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him.  You will teach me the advanced set!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"151",151,"Water",1,"The Boy in the Iceberg",1,"Iroh","[Concedes reluctantly. On a dire tone.] Very well, [His expression changes completely to one of delight as he picks something up from the ground.] but first, I must finish my roast duck. [He quickly munches down the roast duck, much to the dismay of Zuko.]","Very well,  but first, I must finish my roast duck.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"152",152,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The scene shifts back to the Southern Water Tribe, where it pans down to reveal Sokka pacing to and fro, his arms behind his back.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"153",153,"Water",1,"The Boy in the Iceberg",1,"Sokka","[With a stern expression.] Now men, it's important that you show no fear when you face a firebender. [He brings out his club and holds it proudly.] In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men? [He clutches his fist to emphasize the word ""men"" as he stares down the people in front of him.]","Now men, it's important that you show no fear when you face a firebender.  In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"154",154,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The camera shifts positions to reveal that Sokka is talking to six uninterested little boys.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"155",155,"Water",1,"The Boy in the Iceberg",1,"Southern Water Tribe boy","[Waving his hand in the air.] I gotta pee!","I gotta pee!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"156",156,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Angrily.] Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks! [He makes some wide arm gestures to emphasize his words again.]","Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"157",157,"Water",1,"The Boy in the Iceberg",1,"Southern Water Tribe boy","But I really gotta go!","But I really gotta go!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"158",158,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Sighs.] Okay, who else has to go?","Okay, who else has to go?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"159",159,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Every child immediately raises his hand. Sokka is surprised for a second, before facepalming in frustration.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"160",160,"Water",1,"The Boy in the Iceberg",1,"Katara","[Runs up to Sokka as the children leave. In a worried tone.] Have you seen Aang? Gran-Gran said he disappeared over an hour ago.","Have you seen Aang? Gran-Gran said he disappeared over an hour ago.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"161",161,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang appears from an outhouse igloo, pulling his pants up a bit higher.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"162",162,"Water",1,"The Boy in the Iceberg",1,"Aang","[Amused.] Wow! Everything freezes in there!","Wow! Everything freezes in there!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"163",163,"Water",1,"The Boy in the Iceberg",1,"Scene Description","He points toward the bathroom with a smile on his face. Sokka's ""soldiers"" halt beside Aang and laugh with him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"164",164,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Annoyed.] Uh! [Angrily points at Aang.] Katara, get him out of here! This lesson is for warriors only!","Uh!  Katara, get him out of here! This lesson is for warriors only!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"165",165,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Sokka is about to walk away when he hears the sound of playing children.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"166",166,"Water",1,"The Boy in the Iceberg",1,"Village boy","Whee!","Whee!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"167",167,"Water",1,"The Boy in the Iceberg",1,"Scene Description","He turns around, and the picture follows his gaze to reveal the village children sliding down Appa's tail like a slide. The end of the tail is propped upward, so the children are propelled into the air. They fly over Sokka's spear, now serving as a mark that they need to cross before landing in a soft pile of snow. Katara laughs as a boy lands head-first in the snow, but Sokka rushes forward.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"168",168,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Yelling angrily.] Stop! Stop it right now! [The laughter of the children is stifled immediately and Appa turns his head to look at Sokka, who accusingly directs his anger to Aang.] What's wrong with you?! We don't have time for fun and games with the War going on!","Stop! Stop it right now!  What's wrong with you?! We don't have time for fun and games with the War going on!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"169",169,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Sokka takes back his spear and casts an annoyed glance at the laughing children who run past him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"170",170,"Water",1,"The Boy in the Iceberg",1,"Aang","[Slides down from Appa's head.] What war? What are you talking about?","What war? What are you talking about?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"171",171,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Raises one eyebrow in disbelief.] You're kidding, right?","You're kidding, right?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"172",172,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang looks questioningly at Sokka, but the expression on his face changes to enthusiasm when he catches sight of an otter-penguin.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"173",173,"Water",1,"The Boy in the Iceberg",1,"Aang","[Exclaims enthusiastically.] Penguin!","Penguin!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"174",174,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The animal is startled by Aang's outburst and quickly waddles off. Aang gives chase, racing past Katara and Sokka, enhancing his speed with his airbending. He leaves a deep trail in the snow as he dashes after the penguin.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"175",175,"Water",1,"The Boy in the Iceberg",1,"Sokka","He's kidding, right?","He's kidding, right?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"176",176,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The siblings glance at each other, not sure what they need to think of Aang's reaction.
The scene fades away to show the otter-penguin habitat, where hundreds of otter-penguins are walking or sliding down icebergs. Katara approaches the penguins in search for Aang.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"177",177,"Water",1,"The Boy in the Iceberg",1,"Katara","Aang?","Aang?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"178",178,"Water",1,"The Boy in the Iceberg",1,"Aang","[Chasing the penguins while laughing.] Hey, come on little guy. Wanna go sledding? [He jumps at a penguin, but the animal evades his attempt and Aang belly flops into the snow. He turns on his back and quickly erects himself with his airbending as Katara comes up beside him.] Heh heh. I have a way with animals.","Hey, come on little guy. Wanna go sledding?  Heh heh. I have a way with animals.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"179",179,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Aang stretches his arms wide and imitates the sound and movements of the animals around them, making Katara laugh.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"180",180,"Water",1,"The Boy in the Iceberg",1,"Katara","[Amused.] Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending.","Hehehe, Aang, I'll help you catch a penguin if you teach me waterbending.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"181",181,"Water",1,"The Boy in the Iceberg",1,"Aang","[Having grabbed the tail of a penguin, he holds on as it pulls him through the snow for a short way before letting go and looking up at Katara.] You got a deal! Just one little problem ... [He airbends himself into a sitting position.] I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?","You got a deal! Just one little problem ...  I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"182",182,"Water",1,"The Boy in the Iceberg",1,"Katara","[Sadly.] No. You're looking at the only waterbender in the whole South Pole.","No. You're looking at the only waterbender in the whole South Pole.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"183",183,"Water",1,"The Boy in the Iceberg",1,"Aang","This isn't right. A waterbender needs to master water. [He thinks for a moment.] What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you.","This isn't right. A waterbender needs to master water.  What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"184",184,"Water",1,"The Boy in the Iceberg",1,"Katara","Maybe, but we haven't had contact with our sister tribe in a long time. It's not exactly ""turn right at the second glacier"". It's on the other side of the world.","Maybe, but we haven't had contact with our sister tribe in a long time. It's not exactly ""turn right at the second glacier"". It's on the other side of the world.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"185",185,"Water",1,"The Boy in the Iceberg",1,"Aang","But you forget, I have a flying bison. [He happily points at himself.] Appa and I can personally fly you to the North Pole. Katara, we're going to find you a master!","But you forget, I have a flying bison.  Appa and I can personally fly you to the North Pole. Katara, we're going to find you a master!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"186",186,"Water",1,"The Boy in the Iceberg",1,"Katara","[Unsure.] That's ... I mean, I don't know. I've never left home before.","That's ... I mean, I don't know. I've never left home before.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"187",187,"Water",1,"The Boy in the Iceberg",1,"Aang","Well, you think about it, but in the meantime, can you teach me catch one of these penguins?","Well, you think about it, but in the meantime, can you teach me catch one of these penguins?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
